Date,Toyota,Ford,GM
8/16/99,0.02176719,0.02666479,-0.0072194
8/23/99,-0.0402659,-0.0005972,0.01893018
8/30/99,0.01355703,0.00711326,0.00365262
9/7/99,-0.0105641,-0.0145476,-0.0111446
9/13/99,0.02371076,-0.0069456,0.0016761
9/20/99,-0.0190798,-0.0022711,-0.0205531
9/27/99,0.00465333,0.00820222,0.00136204
10/4/99,0.020514,0.01261234,0.03399181
10/11/99,-0.0222264,-0.0132222,-0.0348669
10/18/99,0.02344723,0.02758352,0.02505604
10/25/99,0.00712084,0.01204882,0.02947908
11/1/99,0.00707153,-0.0093844,-0.0097228
11/8/99,-0.0190281,-0.0026644,0.01788676
11/15/99,0.01784655,-0.0245429,-0.0092814
11/22/99,0.01192942,0.00161298,0.01003899
11/29/99,-0.0138399,0.01425342,0.02587357
12/6/99,0.0141595,-0.0289906,-0.0176264
12/13/99,0.10496352,0.00988011,-0.0105238
12/20/99,0.01085359,0.02318108,0.0109362
12/27/99,0.01647199,0.00403283,-0.0007426
1/3/00,-0.0539714,0.01076116,0.01253486
1/10/00,0.00845472,-0.023564,0.04115192
1/18/00,-0.0090955,-0.011167,-0.0016818
1/24/00,0.00064079,-0.008156,-0.015816
1/31/00,0.01976659,-0.008522,0.01808117
2/7/00,-0.0082353,-0.0177812,-0.044149
2/14/00,-0.0198274,-0.0266024,-0.0010501
2/22/00,-0.0110721,-0.00444,0.01906598
2/28/00,-0.001621,-0.0025914,-0.0067866
3/6/00,0.03922357,-0.0168632,0.01094624
3/13/00,0.0107638,0.03627112,0.01269206
3/20/00,0.0076194,0,0.02761903
3/27/00,0.04690852,0.0124729,-0.0132657
4/3/00,-0.025801,0.02246298,0.00940593
4/10/00,0.01659109,0.03349325,-0.0133133
4/17/00,0.01853024,0.0232982,0.03402904
4/24/00,-0.0266091,0.00091373,0.02316263
5/1/00,0.00911188,-0.0150444,-0.0358466
5/8/00,-0.0231722,0.00395072,-0.0034738
5/15/00,0.0030649,0.00056147,0.00972573
5/22/00,-0.0164717,-0.0448855,-0.0913693
5/30/00,-0.0037742,0.00165603,-0.0114295
6/5/00,0.0097839,0.0132262,-0.0003458
6/12/00,-0.0546562,-0.0447122,-0.0380324
6/19/00,0.02575057,-0.0053645,-0.0078116
6/26/00,0.02000692,0.00313733,-0.026353
7/3/00,-0.01939,0.03164208,0.01525405
7/10/00,0.00844502,0.01167474,0.01196318
7/17/00,-0.0383752,-0.0010116,-0.0129504
7/24/00,-0.0019859,-0.0071482,-0.0188875
7/31/00,0.02114981,0.0427198,0.0144169
8/7/00,-0.0003161,0,0.03092747
8/14/00,-0.0126728,-0.0208348,0.04400562
8/21/00,0.01045381,-0.0019625,0.00889996
8/30/00,0.0040596,-0.0434036,0.01009086
9/5/00,-0.0203583,0.01705006,0.0011247
9/11/00,-0.0220536,-0.002095,-0.0201155
9/18/00,-0.0122047,-0.0042206,-0.0109781
9/25/00,0.00988413,-0.0021258,-0.0211936
10/2/00,0.01419165,-0.0032083,-0.0187707
10/9/00,-0.0021447,0.00107207,-0.0330724
10/16/00,-0.0065557,-0.005387,0.00466552
10/23/00,0.00491185,0.00858742,0.01243057
10/30/00,0.00079437,0.00084948,-0.022328
11/6/00,0.01091601,-0.0042641,-0.010551
11/13/00,-0.0417466,-0.0021479,0.00588171
11/20/00,-0.0175741,-0.0155631,-0.0365479
11/27/00,-0.0015236,0.00222602,-0.0090589
12/4/00,-0.0254712,-0.0011116,0.00586971
12/11/00,0.01406637,-0.0301859,0.02325842
12/18/00,-0.0284642,0.00592498,-0.0313353
12/26/00,-0.0172788,0.01184196,0.0076194
1/2/01,0.01741819,0.04911166,0.02533825
1/8/01,-0.0433483,0.00204086,-0.0091641
1/16/01,0.05530783,-0.0010192,0.02056407
1/22/01,-0.008904,0.03167417,-0.013456
1/29/01,0.01180944,0.00018969,0.01785023
2/5/01,-0.0050122,-0.0172154,-0.0122464
2/12/01,0.01142946,0.01071905,0.001283
2/20/01,0.00211819,0.01177434,-0.0089526
2/26/01,-0.0189631,-0.00452,0.01044468
3/5/01,0.01518288,0.0305182,0.03562875
3/12/01,-0.0054292,-0.0248755,-0.0321319
3/19/01,0.03572088,-0.0081108,-0.0213054
3/26/01,-0.0154286,0.00341369,-0.002334
4/2/01,-0.0077937,-0.0049395,0.00608653
4/9/01,-0.0171094,0.01833212,0.00426479
4/16/01,-0.0015707,0.01458891,0.02883731
4/23/01,0.00415335,-0.0055257,-0.0131285
